Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Census2019_5PlusPop
Henry County,GA,52.3,45.7,44.2,221058
Houston County,GA,62.1,52.1,38.2,147516
Irwin County,GA,42.9,37.5,34.5,8916
Jackson County,GA,48.6,43.4,43.9,68228
Jasper County,GA,41,35.9,41,13424
Jeff Davis County,GA,36.6,31.8,34.7,14116
Jefferson County,GA,62.4,55.2,41.3,14391
Jenkins County,GA,44.2,38.7,42.3,8233
Johnson County,GA,41.2,36.1,39.4,9121
Jones County,GA,50.7,45,39.8,27293
Lamar County,GA,40.2,35.6,45.3,17964
Lanier County,GA,32.6,27.9,35.2,9750
Laurens County,GA,55.9,47.9,35.8,44395
Lee County,GA,54,47.6,40,28117
Liberty County,GA,79.1,68.6,34.7,55036
Lincoln County,GA,53.9,47.3,41.6,7509
Long County,GA,26.6,22.3,34.2,18114
Lowndes County,GA,47.5,41.2,37.3,109392
Lumpkin County,GA,39.7,35.4,45.8,32137
Macon County,GA,50.5,44.3,42.9,12297
Madison County,GA,49.4,44.3,43.7,28126
Marion County,GA,51.1,42.7,41.6,7948
McDuffie County,GA,52.3,46.1,38.2,19938
McIntosh County,GA,47.5,42.4,44.6,13793
Meriwether County,GA,48.4,42.8,42.1,19907
Miller County,GA,61.1,55.7,39.2,5389
Mitchell County,GA,55,49.2,40.9,20591
Monroe County,GA,48.8,43.2,43.1,26213
Montgomery County,GA,41.4,36.8,40.1,8689
Morgan County,GA,51,46.5,44.9,18125
Murray County,GA,43,38,39.2,37523
Muscogee County,GA,55.5,46.6,42,181919
Newton County,GA,49.9,43.4,43.3,104546
Oconee County,GA,63.8,58.6,51.2,38064
Oglethorpe County,GA,48.1,43.3,46.3,14424
Paulding County,GA,43.4,38.4,39.5,157978
Peach County,GA,53.5,46.6,41.5,25927
Pickens County,GA,47.6,42.5,50.6,30957
Pierce County,GA,39.7,34.3,34.1,18176
Pike County,GA,36.6,33.3,43.5,17937
Polk County,GA,45.3,40,39,39740
Pulaski County,GA,42.1,38.2,42.9,10684
Putnam County,GA,49.7,44.3,43.9,21045
Quitman County,GA,41.5,34.9,39.9,2165
Rabun County,GA,53.5,47.5,47.8,16405
Randolph County,GA,55.4,48.2,43.2,6412
Richmond County,GA,59.5,51.4,37.6,188978
Rockdale County,GA,59.3,52.2,47.7,85637
Schley County,GA,40.6,35.8,39.2,4998
Screven County,GA,55.2,49.4,45.4,13121
Seminole County,GA,52.2,46.8,39.4,7666
Spalding County,GA,46.4,41.5,45.2,62467
Stephens County,GA,47.8,42.5,45.4,24296
Stewart County,GA,37.9,33.4,49.1,6432
Sumter County,GA,61.4,53.5,44,27702
Talbot County,GA,56,49.7,45.6,5903
Taliaferro County,GA,57,51.9,50.7,1463
Tattnall County,GA,38.5,33.7,42.1,24023
Taylor County,GA,53.5,46.8,42,7611
Telfair County,GA,34.4,30.1,40.1,15180
Terrell County,GA,67.3,59.4,42.4,8030
Thomas County,GA,56.9,50.2,43.8,41675
Tift County,GA,48.8,41.7,38.9,37829
Toombs County,GA,48.3,42.9,39,24969
Towns County,GA,56.7,50.2,50.2,11596
Treutlen County,GA,41.3,36,38.1,6496
Troup County,GA,44,38,39,65361
Turner County,GA,58.6,51.3,35.8,7422
Twiggs County,GA,65.2,55.3,35.9,7719
Union County,GA,52.4,46.8,48.9,23569
Unknown County,GA,,,29.2,
Upson County,GA,51.7,46.4,46,24659
Walker County,GA,51.2,43.1,38,65778
Walton County,GA,47.8,42.5,42,88935
Ware County,GA,45.8,39.5,37.5,33281
Warren County,GA,55.6,49.3,42.9,4981
Washington County,GA,50.9,45.1,43.7,19231
Wayne County,GA,48.8,43.1,36.9,28031
Webster County,GA,50.2,44.7,46.9,2483
Wheeler County,GA,30.4,27.2,38.6,7505
White County,GA,40.3,36.6,48.3,29332
Whitfield County,GA,50.2,44.6,39.4,97872
Wilcox County,GA,42.8,37.3,35.5,8196
Wilkes County,GA,54.2,49.4,42.4,9283
Wilkinson County,GA,58.3,52.3,45.4,8453
Worth County,GA,48.1,42.4,39.8,19106
Guam,GU,66.2,64.3,55,152761
Unknown County,GU,,,47.3,
Hawaii County,HI,,,40.5,190041
Honolulu County,HI,,,32.8,914681
Kalawao County,HI,,,,86
Kauai County,HI,,,34.5,68064
Maui County,HI,,,39.1,157781
Unknown County,HI,,,,
Adair County,IA,54.3,50.4,62.7,6748
Adams County,IA,61,57.4,60.3,3411
Allamakee County,IA,61.8,55.7,56.9,12728
Appanoose County,IA,52.4,48.6,57.1,11724
Audubon County,IA,61.8,59.7,61.8,5162
Benton County,IA,64,60.5,57.7,24050
Black Hawk County,IA,67.5,62.3,56.5,122983
Boone County,IA,70.7,66.2,57.9,24849
Bremer County,IA,65.2,61.6,61.3,23601
Buchanan County,IA,58.4,55,58.6,19798
Buena Vista County,IA,77.6,71.2,45.6,18165
Butler County,IA,61.7,58.6,60.9,13721
Calhoun County,IA,64.4,60.9,58.8,9116
Carroll County,IA,66.3,63,57.7,18881
Cass County,IA,63.7,59.6,59.6,12151
