County name,State,Urban Rural Code,Deaths involving COVID-19
Madison County,IA,Medium metro,27
Mahaska County,IA,Micropolitan,77
Marion County,IA,Noncore,97
Marshall County,IA,Micropolitan,81
Mills County,IA,Medium metro,
Mitchell County,IA,Noncore,43
Monona County,IA,Noncore,41
Monroe County,IA,Noncore,40
Montgomery County,IA,Noncore,46
Muscatine County,IA,Micropolitan,96
O'Brien County,IA,Noncore,51
Osceola County,IA,Noncore,15
Page County,IA,Noncore,27
Palo Alto County,IA,Noncore,31
Plymouth County,IA,Small metro,68
Pocahontas County,IA,Noncore,18
Polk County,IA,Medium metro,1797
Pottawattamie County,IA,Medium metro,346
Poweshiek County,IA,Noncore,63
Ringgold County,IA,Noncore,28
Sac County,IA,Noncore,19
Scott County,IA,Medium metro,503
Shelby County,IA,Noncore,44
Sioux County,IA,Noncore,61
Story County,IA,Small metro,171
Tama County,IA,Noncore,45
Taylor County,IA,Noncore,
Union County,IA,Noncore,40
Van Buren County,IA,Noncore,19
Wapello County,IA,Micropolitan,140
Warren County,IA,Medium metro,67
Washington County,IA,Small metro,63
Wayne County,IA,Noncore,30
Webster County,IA,Micropolitan,224
Winnebago County,IA,Noncore,23
Winneshiek County,IA,Noncore,44
Woodbury County,IA,Small metro,553
Worth County,IA,Micropolitan,
Wright County,IA,Noncore,45
Ada County,ID,Medium metro,1631
Adams County,ID,Noncore,
Bannock County,ID,Small metro,319
Bear Lake County,ID,Noncore,11
Benewah County,ID,Noncore,20
Bingham County,ID,Micropolitan,74
Blaine County,ID,Micropolitan,17
Boise County,ID,Medium metro,
Bonner County,ID,Micropolitan,143
Bonneville County,ID,Small metro,480
Boundary County,ID,Noncore,48
Butte County,ID,Small metro,
Canyon County,ID,Medium metro,641
Caribou County,ID,Noncore,21
Cassia County,ID,Micropolitan,29
Clark County,ID,Noncore,
Clearwater County,ID,Noncore,35
Custer County,ID,Noncore,
Elmore County,ID,Micropolitan,26
Franklin County,ID,Small metro,17
Fremont County,ID,Micropolitan,12
Gem County,ID,Medium metro,43
Gooding County,ID,Noncore,31
Idaho County,ID,Noncore,33
Jefferson County,ID,Small metro,17
Jerome County,ID,Micropolitan,16
Kootenai County,ID,Small metro,728
Latah County,ID,Micropolitan,46
Lemhi County,ID,Noncore,12
Lewis County,ID,Noncore,
Lincoln County,ID,Micropolitan,
Madison County,ID,Micropolitan,47
Minidoka County,ID,Micropolitan,43
Nez Perce County,ID,Small metro,157
Oneida County,ID,Noncore,
Owyhee County,ID,Medium metro,29
Payette County,ID,Micropolitan,41
Power County,ID,Noncore,11
Shoshone County,ID,Noncore,39
Teton County,ID,Micropolitan,
Twin Falls County,ID,Micropolitan,440
Valley County,ID,Noncore,
Washington County,ID,Noncore,29
Adams County,IL,Micropolitan,415
Alexander County,IL,Small metro,
Bond County,IL,Large fringe metro,31
Boone County,IL,Medium metro,57
Brown County,IL,Noncore,15
Bureau County,IL,Micropolitan,139
Calhoun County,IL,Large fringe metro,
Carroll County,IL,Noncore,20
Cass County,IL,Noncore,26
Champaign County,IL,Small metro,652
Christian County,IL,Micropolitan,87
Clark County,IL,Noncore,27
Clay County,IL,Noncore,44
Clinton County,IL,Large fringe metro,54
Coles County,IL,Micropolitan,242
Cook County,IL,Large central metro,15598
Crawford County,IL,Noncore,45
Cumberland County,IL,Micropolitan,22
DeKalb County,IL,Large fringe metro,235
De Witt County,IL,Small metro,33
Douglas County,IL,Noncore,21
DuPage County,IL,Large fringe metro,1892
Edgar County,IL,Noncore,68
Edwards County,IL,Noncore,
Effingham County,IL,Micropolitan,150
Fayette County,IL,Noncore,54
Ford County,IL,Small metro,67
Franklin County,IL,Noncore,93
Fulton County,IL,Micropolitan,104
Gallatin County,IL,Noncore,
Greene County,IL,Noncore,40
Grundy County,IL,Large fringe metro,170
Hamilton County,IL,Noncore,34
Hancock County,IL,Micropolitan,52
Hardin County,IL,Noncore,16
Henderson County,IL,Micropolitan,18
Henry County,IL,Medium metro,105
Iroquois County,IL,Noncore,75
Jackson County,IL,Small metro,271
Jasper County,IL,Noncore,19
Jefferson County,IL,Micropolitan,278
Jersey County,IL,Large fringe metro,79
Jo Daviess County,IL,Noncore,32
Johnson County,IL,Noncore,
Kane County,IL,Large fringe metro,1260
Kankakee County,IL,Small metro,389
Kendall County,IL,Large fringe metro,32
Knox County,IL,Micropolitan,265
Lake County,IL,Large fringe metro,1399
La Salle County,IL,Micropolitan,318
Lawrence County,IL,Noncore,22
Lee County,IL,Micropolitan,121
Livingston County,IL,Micropolitan,115
Logan County,IL,Micropolitan,62
McDonough County,IL,Micropolitan,96
McHenry County,IL,Large fringe metro,392
McLean County,IL,Small metro,474
Macon County,IL,Small metro,450
Macoupin County,IL,Large fringe metro,108
Madison County,IL,Large fringe metro,859
Marion County,IL,Micropolitan,168
Marshall County,IL,Medium metro,15
Mason County,IL,Noncore,42
Massac County,IL,Micropolitan,62
Menard County,IL,Small metro,20
